episode,score,accumulated_reward
318,40,288.66502770670496
319,53,357.7083725910026
320,52,356.9973726828799
321,38,249.569034012575
322,57,337.1240772859602
323,33,211.53753188617097
324,28,188.519452638688
325,44,316.54933070447845
326,8,44.514522285276286
327,7,-2.508290106013205
328,35,223.33085662740544
329,25,157.2809545677354
330,58,392.83300793303675
331,20,112.8614458307895
332,50,348.3152274418735
333,25,143.45848194190634
334,59,436.3807956176648
335,15,74.30905184454292
336,7,45.88143351024753
337,66,443.2069858281234
338,47,323.27004340585904
339,18,93.80466231353891
340,14,73.19554207361604
341,12,72.78467224429282
342,71,469.28994050389355
343,20,128.20197836255758
344,22,102.84040038092621
345,60,383.5061028298946
346,29,171.9298858135858
347,50,337.3261899304697
348,39,225.73436510418534
349,27,195.79284794627614
350,45,336.44851878805065
351,9,38.75809011450141
352,62,411.14298618040385
353,34,212.15372430466476
354,21,136.5312783450655
355,37,250.00438463000535
356,22,149.12785657187595
357,42,262.4463814786336
358,34,235.2738607436437
359,41,281.4277260003973
360,52,321.31962651500686
361,49,270.39224736559345
362,33,234.07181570825543
363,48,299.81737319533676
364,57,377.82861213829415
365,26,147.74764635057525
366,35,206.98423273841757
367,30,178.91832404784668
368,52,352.0728100548771
369,65,407.02154998724194
370,27,184.84918512592614
371,25,177.5923486981134
372,74,402.9775487739364
373,32,210.07559230230763
374,18,98.63190340428139
375,51,338.05673186054736
376,47,271.32244045790964
377,18,90.83907311103133
378,69,450.32896698448695
379,30,227.45516245728996
380,8,32.9089966283058
381,23,152.59760022135225
382,56,374.3692313821101
383,13,85.72659975771057
384,13,65.54357277569738
385,62,441.3594726988669
386,43,307.08515056667164
387,60,419.8994975530608
388,29,159.1528836788057
389,10,50.76922021934183
390,16,107.9079543612665
391,44,276.09232373666106
392,45,309.5740715143346
393,10,38.04496884425709
394,32,181.84290999881358
395,14,38.416386817726064
396,50,350.98078756959706
397,52,375.92035423518644
398,54,334.5531136586078
399,74,498.51523684363053
400,46,316.94302273878594
401,17,99.01659285044073
402,39,245.36791098074636
403,46,305.3377079975474
404,83,549.0951567948781
405,70,458.3714244296152
406,12,74.05847836397814
407,46,306.2865917476846
408,49,304.638914211268
409,23,134.33713600432804
410,26,175.31282501638955
411,26,162.93339784286215
412,38,201.12983322359395
413,12,28.46383444836401
414,38,255.9438396967306
415,35,207.07559857881017
416,42,261.7866700071944
417,63,457.47003841369207
418,14,101.53536668642688
419,55,370.9318219828404
420,34,198.71180992776192
421,77,552.3084138606067
422,23,152.96635359642272
423,60,413.2378862102268
424,27,150.0929258754786
425,48,312.05738009388153
426,47,314.2118476673461
427,28,155.04148899218438
428,52,367.92072571208814
429,74,483.4610746398753
430,34,253.49662912667287
431,11,47.406435001218306
432,16,93.52070512383487
433,44,272.6096855408176
434,47,281.8782985068565
435,45,315.14554922479107
436,43,289.49552524651875
437,59,435.8272220611812
438,45,306.42960395454463
439,29,122.12561885530027
440,35,215.40769672643003
441,28,189.70718835890918
442,48,317.94060939585967
443,37,238.76133089640797
444,66,399.7760201650331
445,23,167.38730094339542
446,27,147.8318488570767
447,38,247.6336287318759
448,39,274.9665640776375
449,41,217.07430778285413
450,38,182.9575704549763
451,72,475.80289919566064
452,47,314.88019885668035
453,15,65.85524550552
454,27,168.46365623138456
455,9,33.88002353820389
456,52,361.8315523552779
457,50,335.0050796359106
458,26,137.06092274053282
459,59,370.19242280342075
460,31,200.91492507896288
461,39,222.44060849160948
462,53,314.30352470119425
463,66,489.9571611989525
464,46,300.66684811469486
465,15,94.85239088107993
466,49,334.324234708197
467,44,280.9197823550441
468,36,267.59889951914636
469,43,263.86483874138736
470,23,79.63605396941315
471,18,121.89693332303162
472,20,127.02303334032933
473,22,149.78938079025394
474,42,294.26902200538683
475,38,262.2692381763849
476,55,347.54032672462984
477,53,352.1558642610407
478,12,39.24232519944884
479,22,139.83206522419184
480,53,374.06664234803293
481,44,294.0241322459211
482,61,384.56577679594363
483,13,72.39474585746218
484,52,310.5941508844456
485,64,412.61995710963953
486,33,183.91861772626086
487,30,205.91731617122824
488,29,202.376599807202
489,33,182.24493715124476
490,66,463.42799976532376
491,37,259.02037856815076
492,34,201.0781378203127
493,64,460.3754731969665
494,66,415.877654242054
495,73,532.4155778462191
496,34,165.95406669255655
497,58,379.5454554816492
498,38,255.16778284535832
499,53,382.1609655896201
500,49,309.65718349235016
501,49,316.1525908219635
502,15,91.35891935718769
503,36,224.32146610022332
504,43,307.2894777349146
505,12,63.84056255572011
506,16,92.78832802387157
507,47,316.96205025959864
508,17,33.9037853535872
509,56,382.2641312041906
510,51,379.3824479140528
511,33,179.98991575058957
512,44,287.3831350426382
513,33,191.93894888772883
514,30,170.58724092639352
515,28,170.15664736846324
516,45,283.64236625577666
517,7,35.48139842353178
518,62,410.88402731137717
519,28,170.0554915787597
520,53,351.1988191647714
521,45,281.27980795556437
522,17,93.62914288508378
523,16,106.60181866855487
524,44,299.9202488181369
525,28,171.4736119120386
526,72,483.7676032411917
527,20,106.43016756285884
528,60,439.26592589930704
529,30,211.515404792772
530,17,111.82057147824635
531,68,466.58524141053994
532,64,354.5789818890184
533,37,182.955166905631
534,59,418.10495313945654
535,30,169.12801648760265
536,7,33.73632067068196
537,80,537.8501237955905
538,61,411.7848878447877
539,23,157.86959123512185
540,62,409.9053849847397
541,42,300.7246985573903
542,58,381.3896213622341
543,18,101.72527524945072
544,22,100.56975396233804
545,22,142.09807285209916
546,59,404.93541167474746
547,26,148.4054370500606
548,48,323.44667581658604
549,63,447.77337985501254
550,11,67.40469933883801
551,59,394.93042104596316
552,47,330.0433137733037
553,33,242.97855542081504
554,43,289.65354383808784
555,53,371.40329763787946
556,42,299.06267856540825
557,12,59.80348719399355
558,17,104.16540211203761
559,44,331.8582696289921
560,77,539.4784077533586
561,54,323.3123011491137
562,77,538.5850084313736
563,22,136.96787358899945
564,16,103.5610657611166
565,48,341.8897748282443
566,55,368.90104926844975
567,18,80.29447072842981
568,47,302.3227726936104
569,43,285.5914245721248
570,40,226.9747334119399
571,50,303.3381008463971
572,27,170.29029718956926
573,41,245.29254631257763
574,30,189.20263727530312
575,11,60.46926294237922
576,42,278.88850031986385
577,66,421.2149245949882
578,42,282.2591393956878
579,21,104.56417062723858
580,10,39.98184605867375
581,30,176.0630689520067
582,40,283.1028830164091
583,63,388.8602731193101
584,61,430.3084561609338
585,29,207.16608224330636
586,47,295.90266628561204
587,43,245.25525945308704
588,36,235.7428870367138
589,43,244.31192660586308
590,45,296.28590483201134
591,45,278.8959056310027
592,28,180.32292863094438
593,22,145.36765511614195
594,51,313.0037503634138
595,44,270.69618220411957
596,34,171.5600537676625
597,70,459.24144088631124
598,43,297.2491481640109
599,56,390.7077757805818
600,59,417.26746458135403
601,29,187.69469854538707
602,38,266.1245877545731
603,78,543.1767989321072
604,31,200.43666646906823
605,69,457.6160823083308
606,63,428.12371839547336
607,41,273.80884545212683
608,69,442.8136563754952
609,71,498.06886808786885
610,46,332.80813433924504
611,62,389.11761776942683
612,38,255.22012513542575
613,69,458.8938267930229
614,44,279.2726585655434
615,59,404.5136942756338
616,26,189.31908809301765
617,39,227.7734669388627
618,48,322.11109176883787
619,73,473.873006129289
620,37,264.9638235556261
621,78,536.4723375433399
622,40,269.9795871782926
623,37,236.8150763619098
624,20,98.79689839138967
625,71,501.2753931892559
626,41,225.16901040196026
627,25,138.0187756519163
628,36,233.96579629026567
629,44,302.5331993315013
630,74,494.0609399504166
631,24,156.57898591894772
632,40,260.49984170825223
633,53,347.3945079447406
634,30,211.9158039685638
635,41,249.76339873478355
636,56,389.95395361893827
637,35,227.7599964394114
638,23,154.86602711614708
639,43,280.3317866122631
640,38,263.4070607305348
641,19,113.42278179062464
642,56,348.1786781888715
643,53,332.0061900941884
644,12,73.36058550063203
645,34,175.02132618993454
646,77,482.34994019556575
647,65,460.44859506983454
648,41,281.4441599811421
649,45,276.6828916373617
650,45,264.3679758945359
651,43,320.0384559981507
652,85,604.6626618234825
653,31,218.7732174831045
654,31,198.02316851520595
655,67,437.6777343458113
656,46,289.94052743181805
657,33,238.6294961923219
658,14,92.14599537214434
659,35,232.45038301454144
660,24,166.480804584324
661,61,413.32342017770577
662,74,450.7568610662185
663,56,383.02950711536613
664,39,221.95787432991557
665,15,86.11492527125083
666,50,364.34609526926715
667,59,433.6115250781529
668,33,221.304494391909
669,23,124.39231149725319
670,62,413.3101089471537
671,39,220.71844513177703
672,22,120.98851421046805
673,46,297.0544752792316
674,13,43.27674589954881
675,31,226.6699126305484
676,66,460.49026262001996
677,53,380.38390552296374
678,29,200.6830280587857
679,53,365.2849517018915
680,32,212.2724774483045
681,24,145.49996230162148
682,29,153.38799329316703
683,36,258.76987277638347
684,87,615.7760598854965
685,50,317.7147043645272
686,39,231.19169096429678
687,45,320.5468705630003
688,37,238.06000004273162
689,43,292.0534141008347
690,60,404.2560246147746
691,29,186.98796039199786
692,36,204.3086823525578
693,31,230.40171682112836
694,47,335.7181004349288
695,66,473.46953898901745
696,12,78.31481834214425
697,24,172.91945651280116
698,45,278.158437662302
699,38,277.3113578645694
700,35,219.32732741504404
701,10,44.50716066273262
702,36,238.43842456196373
703,41,303.7114194492798
704,50,364.94832833925346
705,27,167.26930704483303
706,16,97.6252220823909
707,11,68.36892886609499
708,14,76.86904733999721
709,30,197.28204743182403
710,62,376.2774875229899
711,38,217.73773350765865
712,48,269.09563318792055
713,54,349.31962304984796
714,36,268.10492273146434
715,50,302.5112973622462
716,69,425.4916644879319
717,23,174.45100626159265
718,22,152.78007925225066
719,39,219.67291419099044
720,51,305.94171132924555
721,42,285.337347258284
722,27,196.80996060937366
723,72,465.72532396066543
724,17,78.13731426800285
725,27,158.62457376219356
726,29,124.87489419689183
727,46,330.471720659706
728,40,286.61140385307664
729,28,174.75421583775764
730,56,373.29724794677355
731,72,478.1723710674757
732,35,185.8745918848637
733,24,165.93112100993457
734,9,31.159434700637505
735,33,234.50066482141247
736,49,320.4064351905008
737,58,356.5755429227044
738,25,124.78127345927274
739,79,469.9351945000376
740,39,205.23382582163939
741,21,157.93383223709563
742,31,216.105884377815
743,16,103.5549658245296
744,34,199.46375886794613
745,41,298.5158714187321
746,36,266.4836303092122
747,32,204.08229820501853
748,9,51.92854890079348
749,22,130.69494590909034
750,61,374.91562596387456
751,55,363.0062516202772
752,47,325.5844590426291
753,72,477.66121049158863
754,41,293.4228956443248
755,62,395.68351297049685
756,58,425.80592116755275
757,41,281.62951683021527
758,35,230.87748152944255
759,39,260.163900388691
760,51,372.9350637507388
761,55,383.2979147941337
762,52,299.2106114370064
763,32,208.79891087321326
764,26,149.79761635572999
765,68,445.4806858601731
766,60,381.27186592283687
767,20,101.40116995243379
768,59,391.9297211854709
769,34,217.57138125302237
770,37,248.00028875254702
771,39,267.9614555148219
772,21,152.4858216584399
773,37,250.18540631970905
774,18,135.10216725394628
775,29,198.42808986086445
776,32,195.66528604721654
777,9,-6.034583423808895
778,42,273.5231934712298
779,48,332.2582956343149
780,31,180.7326218303384
781,40,252.59485786537675
782,42,209.00039860782528
783,45,297.51821994152056
784,52,316.42595086748076
785,59,414.4084756879513
786,39,269.11745021629605
787,29,189.8128106651858
788,37,162.47598147120124
789,6,28.767191369961303
790,72,497.49048715709387
791,43,300.5635737138667
792,25,179.93189675960502
793,32,211.1528383201663
794,40,241.88758094800735
795,48,318.39823579939934
796,25,148.12231678348024
797,60,394.392500661739
798,54,331.746186651982
799,32,216.5045013621485
800,29,173.4229821624842
801,27,182.91216476054714
802,41,286.9657796695136
803,22,87.61812870893591
804,33,227.12766383355188
805,33,196.88502554028838
806,38,267.1626172358835
807,38,241.99611165947053
808,54,377.03974300656745
809,26,144.81256380755707
810,64,412.453060887561
811,61,422.46380826349997
812,45,298.8864311406892
813,55,373.0031741363859
814,45,297.757587829091
815,65,425.9728292924117
816,50,308.21151715492977
817,24,155.32073098682957
818,40,271.22810157976915
819,40,258.2086249844517
820,66,397.1544016409788
821,56,422.7880821657982
822,58,392.91316907780214
823,37,245.01059548857447
824,33,226.62386565879328
825,50,314.3980407139184
826,16,85.95797935052617
827,45,300.98162525750007
828,29,181.00238305528765
829,66,462.3219638854126
830,25,176.66501720844653
831,30,207.1832369397676
832,62,427.4426624614678
833,37,222.127473844991
834,84,560.5932688159023
835,35,211.10973555860494
836,61,406.916648089129
837,31,228.1027851078819
838,66,440.6105655044387
839,69,472.04275784733125
840,82,551.0718383053821
841,34,230.7422950432706
842,50,345.4721348198025
843,21,97.87621457261031
844,61,435.4282777875898
845,31,224.51209385829603
846,37,235.65332061172325
